sample_label,device_type,horizon_minutes,target_final_passed_bases,device_is_promethion,minimum_q_score_setting,planned_run_limit_hours,series_resolution_seconds,observed_through_seconds,observed_estimated_bases,observed_passed_bases,observed_failed_bases,observed_total_reads,observed_passed_reads,observed_failed_reads,observed_passed_base_fraction,observed_passed_read_fraction,observed_mean_passed_read_length,observed_mean_failed_read_length,observed_mean_estimated_read_length,observed_basecalling_completion_ratio,observed_average_estimated_bases_per_hour,observed_average_passed_bases_per_hour,observed_recent_estimated_bases_per_hour,observed_recent_passed_bases_per_hour,observed_qscore_lower,observed_qscore_mode,observed_qscore_upper,observed_translocation_q25,observed_translocation_median,observed_translocation_q75,observed_temperature,observed_target_temperature,pore_activity_sequencing_percent,pore_activity_pore_available_percent,pore_activity_unavailable_percent,pore_activity_inactive_percent,pore_activity_unclassified_percent,pore_scan_pore_available_count,pore_scan_reserved_pore_count,pore_scan_unavailable_count,pore_scan_saturated_count,pore_scan_zero_count,pore_scan_inactive_count
Sample48,MINION_MK1D,60,18039538,0,10,72.0,1800.0,3600.0,14463741.0,320646.0,825021.0,6872.0,2032.0,4494.0,0.2798771370738618,0.2956926658905704,157.79822834645668,183.58277703604807,2104.735302677532,0.07920959038190742,14463741.0,320646.0,20168848.0,392120.0,3.28825712,7.63159466,10.794179,95.0736313,340.967316,390.540741,34.93803049723307,0.0,27.212742078993056,41.06337161458333,9.361976345486111,18.154872178819446,4.207037782118055,1239.0,3.0,155.0,250.0,139.0,262.0
Sample48,MINION_MK1D,120,18039538,0,10,72.0,1800.0,7200.0,44310251.0,718648.0,1547559.0,14224.0,4461.0,9028.0,0.31711489727107894,0.31362485939257595,161.0957184487783,171.41770048737263,3115.1751265466814,0.05114407950431154,22155125.5,359324.0,38075866.0,418604.0,4.97397089,7.58757687,11.875,169.444077,349.58493,405.112213,34.93846893310547,0.0,21.409114973958335,35.99063014322917,8.989829101562501,25.015122178819446,8.595303602430556,1039.0,32.0,208.0,259.0,215.0,295.0
Sample50,MINION_MK1D,30,348574457,0,10,72.0,1800.0,1800.0,17664066.0,15454173.0,1263111.0,14202.0,11426.0,2206.0,0.9244428102076868,0.8045345725954091,1352.5444600035007,572.5797824116047,1243.7731305449936,0.9464006758126923,35328132.0,30908346.0,,,10.129734,14.4243155,18.625,371.528839,402.806305,426.299225,34.732355372111,0.0,10.593688845486112,25.33759926215278,4.970131792534723,54.47690386284722,4.621676236979167,488.0,195.0,551.0,205.0,349.0,260.0
Sample50,MINION_MK1D,60,348574457,0,10,72.0,1800.0,3600.0,36504104.0,31297992.0,2667382.0,27596.0,22673.0,4432.0,0.9214676099253316,0.8216045803739672,1380.4080624531382,601.846119133574,1322.804174518046,0.9304535731105741,36504104.0,31297992.0,37680076.0,31687638.0,9.95961761,14.1638021,18.4526978,366.959381,398.229095,421.301819,34.554606119791664,0.0,9.862621202256944,25.882967296006946,4.304456835937501,58.15974641927084,1.7902082465277778,488.0,195.0,551.0,205.0,349.0,260.0
Sample50,MINION_MK1D,120,348574457,0,10,72.0,1800.0,7200.0,74497647.0,58806012.0,5308967.0,52100.0,42930.0,8660.0,0.917196151620045,0.8239923224568139,1369.8116002795248,613.044688221709,1429.897255278311,0.8606309270412259,37248823.5,29403006.0,42948786.0,27450324.0,10.154088,15.0255156,18.7468224,361.962463,397.312195,421.684967,34.556770706176756,0.0,9.324930815972223,27.55841410590278,5.4400654296875,53.275326171875,4.4012634765625,497.0,136.0,563.0,204.0,367.0,281.0
Sample51,MINION_MK1D,30,70574150,0,10,72.0,1800.0,1800.0,1416328.0,1067378.0,94155.0,1947.0,1598.0,231.0,0.9189390228258689,0.8207498715973293,667.9461827284105,407.5974025974026,727.4411915767848,0.8201016996063059,2832656.0,2134756.0,,,12.0853786,15.0719585,20.8228531,331.768707,367.320862,388.312622,34.938398106892905,0.0,2.151044748263889,9.851053732638889,2.592831488715278,82.72815941840278,2.676910611979167,130.0,69.0,392.0,860.0,244.0,353.0
Sample51,MINION_MK1D,60,70574150,0,10,72.0,1800.0,3600.0,3594901.0,2912350.0,180301.0,4720.0,4159.0,442.0,0.9417001789079984,0.8811440677966101,700.2524645347439,407.920814479638,761.6315677966102,0.86028822490522,3594901.0,2912350.0,4357146.0,3689944.0,12.4637508,16.6201248,20.450388,353.47937,381.222382,402.167114,35.48796844482422,0.0,2.484757074652778,8.125043250868057,1.6130673611111113,87.205675,0.5714573133680556,130.0,69.0,392.0,860.0,244.0,353.0
Sample51,MINION_MK1D,120,70574150,0,10,72.0,1800.0,7200.0,10569743.0,7226367.0,415897.0,11439.0,9802.0,946.0,0.9455793466438741,0.8568930850598828,737.2339318506428,439.6374207188161,924.0093539645073,0.7230321494098768,5284871.5,3613183.5,8791184.0,5186802.0,12.327548,16.4862785,20.5081863,365.103424,396.602905,419.492188,35.93685111999512,0.0,2.614911197916667,9.221645377604167,2.1914846571180555,83.69207599826389,2.2798827690972225,165.0,12.0,372.0,867.0,266.0,366.0
Sample52,MINION_MK1D,30,31245736,0,10,72.0,1800.0,1800.0,3157733.0,196113.0,292418.0,3396.0,987.0,2226.0,0.4014340952774747,0.29063604240282687,198.69604863221883,131.36477987421384,929.8389281507656,0.15470940703346356,6315466.0,392226.0,,,3.41118526,6.62631845,11.0367346,196.544907,380.841431,408.245453,34.92742767333984,0.0,21.68221022135417,45.10657866753473,7.235735243055556,19.029450542534722,6.946025325520834,1302.0,1.0,146.0,29.0,381.0,189.0
Sample52,MINION_MK1D,60,31245736,0,10,72.0,1800.0,3600.0,11658535.0,502935.0,638519.0,7345.0,2350.0,4712.0,0.4406090828014094,0.31994554118447927,214.01489361702127,135.50912563667234,1587.27501701838,0.09790715557314877,11658535.0,502935.0,17001604.0,613644.0,3.63439798,6.94656467,12.1313496,345.449219,386.393219,414.467865,34.92631034851074,0.0,16.51909626736111,52.44275470920139,7.4653942925347225,19.431071961805557,4.141682769097223,1302.0,1.0,146.0,29.0,381.0,189.0
Sample52,MINION_MK1D,120,31245736,0,10,72.0,1800.0,7200.0,31380390.0,1432076.0,1556054.0,16277.0,5951.0,9945.0,0.47925491862803826,0.3656079130060822,240.64459754663082,156.46596279537457,1927.8976469865454,0.09522284458542421,15690195.0,716038.0,29871316.0,1005544.0,3.34301472,7.03027678,14.7202272,348.644806,388.649109,410.396,34.92697359720866,0.0,17.390564822048614,44.19003253038195,7.506314344618056,21.484399761284724,9.428688541666666,1115.0,60.0,181.0,30.0,431.0,231.0
Sample53,MINION_MK1D,30,662910321,0,10,18.0,1800.0,1800.0,19565260.0,15701916.0,769769.0,28500.0,25340.0,2714.0,0.9532671369079727,0.8891228070175439,619.649408050513,283.6289609432572,686.500350877193,0.8418842887853266,39130520.0,31403832.0,,,11.625,15.6218338,20.125,369.259,395.127258,416.064178,35.067222849527994,0.0,26.694230164930556,40.99982013888889,7.873886284722222,17.297856250000002,7.134207161458334,1264.0,9.0,133.0,58.0,357.0,227.0
Sample53,MINION_MK1D,60,662910321,0,10,18.0,1800.0,3600.0,48300235.0,36864213.0,1619994.0,60690.0,54524.0,5578.0,0.9579049660552964,0.8984017136266271,676.1098415376715,290.42560057368235,795.851623002142,0.7967705954225689,48300235.0,36864213.0,57469950.0,42324594.0,11.7947979,15.6292009,20.5396061,369.185059,395.289703,417.0112,35.204114786783855,0.0,28.65004440104167,46.23298697916667,7.445377039930556,13.503634765625002,4.167956814236112,1264.0,9.0,133.0,58.0,357.0,227.0
Sample53,MINION_MK1D,120,662910321,0,10,18.0,1800.0,7200.0,126313817.0,77101072.0,3660132.0,118106.0,106390.0,11190.0,0.9546795760994351,0.9008009753949842,724.7022464517341,327.0895442359249,1069.4953431663082,0.6393695156880581,63156908.5,38550536.0,84822234.0,39134232.0,11.9107552,16.1259022,20.5892448,373.722412,399.841705,421.036804,35.34423561096192,0.0,21.313496809895835,41.1200388671875,6.3476907986111115,22.654478407118056,8.5642951171875,1017.0,185.0,162.0,62.0,368.0,254.0
